CustomerID,Name,City,Age,Income,SignupDate,PurchaseAmount
CUST1000,Rahul Verma,Delhi,21.0,119704.0,2024-10-21,30910.0
CUST1001,Priya Singh,Bangalore,39.0,74872.0,2024-08-28,1947.0
CUST1002,Rahul Verma,Mumbai,44.0,93465.0,2024-08-04,7516.0
CUST1003,Anjali Nair,Bangalore,42.0,91295.0,2024-06-29,23407.0
CUST1004,Anjali Nair,MUMBAI,48.0,88591.0,2024-12-05,8966.0
CUST1005,Anjali Nair,Delhi,25.0,31046.0,2023-01-02,8521.0
CUST1006,Rahul Verma,delhi,54.0,38039.0,2023-10-02,41279.0
CUST1007,Pooja Iyer,Chennai,55.0,58505.0,2023-01-03,38544.0
CUST1008,Amit Sharma,MUMBAI,66.0,16520.0,2024-05-12,13065.0
CUST1009,Amit Sharma,,47.0,106145.0,2024-05-18,-100.0
CUST1010,Sneha Gupta,MUMBAI,28.0,123620.0,2023-02-14,1519.0
CUST1011,Amit Sharma,Bangalore,57.0,,2023-09-15,26886.0
CUST1012,Pooja Iyer,delhi,-5.0,32387.0,2024-04-26,5535.0
CUST1013,Vikram Rao,MUMBAI,34.0,80899.0,2025-02-15,6284.0
CUST1014,Sneha Gupta,MUMBAI,27.0,64285.0,2025-05-13,17373.0
CUST1015,Priya Singh,Delhi,-5.0,97780.0,2023-07-20,16008.0
CUST1016,Karan Mehta,Mumbai,50.0,136660.0,2024-04-16,40816.0
CUST1017,Rahul Verma,,46.0,112769.0,2024-03-11,6657.0
CUST1018,Pooja Iyer,Kolkata,-5.0,64880.0,2024-02-25,19627.0
CUST1019,Anjali Nair,Kolkata,41.0,116998.0,2023-02-05,37577.0
CUST1020,Amit Sharma,Mumbai,52.0,95571.0,2023-08-10,8620.0
CUST1021,Pooja Iyer,Mumbai,52.0,37266.0,2024-03-02,29947.0
CUST1022,Vikram Rao,delhi,57.0,33677.0,2024-11-15,25353.0
CUST1023,Pooja Iyer,MUMBAI,52.0,,2024-08-25,15400.0
CUST1024,Amit Sharma,Chennai,30.0,141872.0,2023-10-27,19819.0
CUST1025,Rahul Verma,Delhi,25.0,139064.0,2023-10-10,21239.0
CUST1026,Karan Mehta,MUMBAI,41.0,111018.0,2023-01-07,
CUST1027,Karan Mehta,,63.0,123428.0,2024-05-31,-100.0
CUST1028,Vikram Rao,Delhi,53.0,74997.0,2024-01-05,4571.0
CUST1029,Sneha Gupta,Chennai,50.0,35960.0,2023-09-11,6925.0
CUST1030,Karan Mehta,Chennai,40.0,52662.0,2023-09-03,12663.0
CUST1031,Pooja Iyer,Delhi,32.0,79956.0,2023-02-08,
CUST1032,Anjali Nair,,39.0,29609.0,2024-06-03,48702.0
CUST1033,Priya Singh,Bangalore,52.0,28557.0,2025-04-01,13282.0
CUST1034,Vikram Rao,MUMBAI,67.0,143956.0,2025-04-20,18421.0
CUST1035,Anjali Nair,,67.0,77154.0,2024-12-26,9188.0
CUST1036,Vikram Rao,Kolkata,-5.0,124947.0,2024-10-02,19992.0
CUST1037,Anjali Nair,Kolkata,60.0,131759.0,2023-12-07,1926.0
CUST1038,Priya Singh,MUMBAI,49.0,47616.0,2023-10-08,40177.0
CUST1039,Rahul Verma,MUMBAI,46.0,104226.0,2023-11-12,13666.0
CUST1040,Karan Mehta,Chennai,38.0,83051.0,2024-08-18,14776.0
CUST1041,Karan Mehta,Kolkata,67.0,17329.0,2023-09-26,-100.0
CUST1042,Anjali Nair,MUMBAI,38.0,147637.0,2024-05-05,31867.0
CUST1043,Pooja Iyer,delhi,40.0,37543.0,2023-06-06,27206.0
CUST1044,Vikram Rao,Delhi,25.0,46810.0,2024-12-06,41735.0
CUST1045,Vikram Rao,MUMBAI,69.0,57192.0,2023-03-30,41879.0
CUST1046,Pooja Iyer,Mumbai,36.0,54210.0,2025-03-23,8340.0
CUST1047,Karan Mehta,Delhi,64.0,113272.0,2023-09-11,
CUST1048,Rahul Verma,Bangalore,24.0,,2023-06-11,33545.0
CUST1049,Anjali Nair,Mumbai,23.0,109237.0,2023-02-17,32269.0
CUST1050,Karan Mehta,Bangalore,51.0,57840.0,2024-07-21,22540.0
CUST1051,Priya Singh,Mumbai,38.0,94098.0,2024-02-18,4545.0
CUST1052,Amit Sharma,,61.0,15161.0,2024-06-16,-100.0
CUST1053,Amit Sharma,delhi,50.0,74902.0,2023-01-09,5091.0
CUST1054,Vikram Rao,Mumbai,68.0,133451.0,2024-12-23,29363.0
CUST1055,Rahul Verma,delhi,19.0,27180.0,2023-11-10,
CUST1056,Priya Singh,Chennai,68.0,90394.0,2024-10-07,20239.0
CUST1057,Sneha Gupta,MUMBAI,45.0,49718.0,2025-02-11,36552.0
CUST1058,Pooja Iyer,MUMBAI,51.0,40088.0,2023-11-23,20005.0
CUST1059,Rahul Verma,Chennai,50.0,,2025-03-23,44360.0
CUST1060,Karan Mehta,Mumbai,,38228.0,2024-02-10,35337.0
CUST1061,Anjali Nair,Kolkata,41.0,111376.0,2023-07-01,32023.0
CUST1062,Vikram Rao,Delhi,31.0,118762.0,2024-03-19,890.0
CUST1063,Rahul Verma,delhi,29.0,85978.0,2024-11-04,5185.0
CUST1064,Sneha Gupta,Mumbai,51.0,110633.0,2024-08-03,3476.0
CUST1065,Priya Singh,Chennai,20.0,132819.0,2023-10-14,24624.0
CUST1066,Karan Mehta,,42.0,74338.0,2025-01-11,733.0
CUST1067,Anjali Nair,Kolkata,67.0,101889.0,2023-09-11,49536.0
CUST1068,Pooja Iyer,Mumbai,69.0,73790.0,2024-11-13,-100.0
CUST1069,Anjali Nair,Chennai,54.0,94544.0,2024-11-25,8001.0
CUST1070,Rahul Verma,MUMBAI,49.0,86627.0,2024-12-22,33562.0
